Tissue_cell_type_name	Developmental_stage	Organ_system	Specific_tissue_name	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID
AdultAdipose_Fibroblast	Adult	Integumentary system	AdultAdipose	Fibroblast	Fibroblast	CL:0000057	Adipose tissue	UBERON:0001013
AdultAdipose_Macrophage	Adult	Integumentary system	AdultAdipose	Macrophage	Macrophage	CL:0000235	Adipose tissue	UBERON:0001013
AdultAdipose_Stromal cell	Adult	Integumentary system	AdultAdipose	Stromal cell	Stromal cell	CL:0000499	Adipose tissue	UBERON:0001013
AdultAdrenalGland_B cell (Plasmocyte)	Adult	Endocrine system	AdultAdrenalGland	B cell (Plasmocyte)	B cell	CL:0000236	Adrenal gland	UBERON:0002369
AdultAdrenalGland_Endothelial cell	Adult	Endocrine system	AdultAdrenalGland	Endothelial cell	Endothelial cell	CL:0000115	Adrenal gland	UBERON:0002369
AdultAdrenalGland_Endothelial cell (APC)	Adult	Endocrine system	AdultAdrenalGland	Endothelial cell (APC)	Endothelial cell	CL:0000115	Adrenal gland	UBERON:0002369
AdultAdrenalGland_Fasciculata cell	Adult	Endocrine system	AdultAdrenalGland	Fasciculata cell	Type II cell of adrenal cortex	CL:0002136	Adrenal gland	UBERON:0002369
AdultAdrenalGland_Macrophage	Adult	Endocrine system	AdultAdrenalGland	Macrophage	Macrophage	CL:0000235	Adrenal gland	UBERON:0002369
AdultAdrenalGland_Myeloid cell	Adult	Endocrine system	AdultAdrenalGland	Myeloid cell	Myeloid cell	CL:0000763	Adrenal gland	UBERON:0002369
AdultAdrenalGland_Smooth muscle cell	Adult	Endocrine system	AdultAdrenalGland	Smooth muscle cell	Smooth muscle cell	CL:0000192	Adrenal gland	UBERON:0002369
AdultAdrenalGland_Stromal cell	Adult	Endocrine system	AdultAdrenalGland	Stromal cell	Stromal cell	CL:0000499	Adrenal gland	UBERON:0002369
AdultAdrenalGland_T cell	Adult	Endocrine system	AdultAdrenalGland	T cell	T cell	CL:0000084	Adrenal gland	UBERON:0002369
AdultArtery_B cell (Plasmocyte)	Adult	Cardiovascular system	AdultArtery	B cell (Plasmocyte)	B cell	CL:0000236	Artery	UBERON:0001637
AdultArtery_Endothelial cell	Adult	Cardiovascular system	AdultArtery	Endothelial cell	Endothelial cell	CL:0000115	Artery	UBERON:0001637
AdultArtery_Endothelial cell (APC)	Adult	Cardiovascular system	AdultArtery	Endothelial cell (APC)	Endothelial cell	CL:0000115	Artery	UBERON:0001637
AdultArtery_Fibroblast	Adult	Cardiovascular system	AdultArtery	Fibroblast	Fibroblast	CL:0000057	Artery	UBERON:0001637
AdultArtery_Macrophage	Adult	Cardiovascular system	AdultArtery	Macrophage	Macrophage	CL:0000235	Artery	UBERON:0001637
AdultArtery_Mast cell	Adult	Cardiovascular system	AdultArtery	Mast cell	Mast cell	CL:0000097	Artery	UBERON:0001637
AdultArtery_Smooth muscle cell	Adult	Cardiovascular system	AdultArtery	Smooth muscle cell	Smooth muscle cell	CL:0000192	Artery	UBERON:0001637
AdultArtery_Stromal cell	Adult	Cardiovascular system	AdultArtery	Stromal cell	Stromal cell	CL:0000499	Artery	UBERON:0001637
AdultArtery_T cell	Adult	Cardiovascular system	AdultArtery	T cell	T cell	CL:0000084	Artery	UBERON:0001637
AdultAscendingColon_B cell	Adult	Digestive system	AdultAscendingColon	B cell	B cell	CL:0000236	Ascending colon	UBERON:0001156
AdultAscendingColon_B cell (Plasmocyte)	Adult	Digestive system	AdultAscendingColon	B cell (Plasmocyte)	B cell	CL:0000236	Ascending colon	UBERON:0001156
AdultAscendingColon_Enterocyte progenitor	Adult	Digestive system	AdultAscendingColon	Enterocyte progenitor	Enterocyte	CL:0000584	Ascending colon	UBERON:0001156
AdultAscendingColon_Stromal cell	Adult	Digestive system	AdultAscendingColon	Stromal cell	Stromal cell	CL:0000499	Ascending colon	UBERON:0001156
AdultAscendingColon_T cell	Adult	Digestive system	AdultAscendingColon	T cell	T cell	CL:0000084	Ascending colon	UBERON:0001156
AdultBladder_B cell (Plasmocyte)	Adult	Urinary system	AdultBladder	B cell (Plasmocyte)	B cell	CL:0000236	Bladder organ	UBERON:0018707
AdultBladder_Dendritic cell	Adult	Urinary system	AdultBladder	Dendritic cell	Dendritic cell	CL:0000451	Bladder organ	UBERON:0018707
AdultBladder_Endothelial cell (APC)	Adult	Urinary system	AdultBladder	Endothelial cell (APC)	Endothelial cell	CL:0000115	Bladder organ	UBERON:0018707
AdultBladder_Epithelial cell (intermediated)	Adult	Urinary system	AdultBladder	Epithelial cell (intermediated)	Epithelial cell	CL:0000066	Bladder organ	UBERON:0018707
AdultBladder_Fibroblast	Adult	Urinary system	AdultBladder	Fibroblast	Fibroblast	CL:0000057	Bladder organ	UBERON:0018707
AdultBladder_Macrophage	Adult	Urinary system	AdultBladder	Macrophage	Macrophage	CL:0000235	Bladder organ	UBERON:0018707
AdultBladder_Mast cell	Adult	Urinary system	AdultBladder	Mast cell	Mast cell	CL:0000097	Bladder organ	UBERON:0018707
AdultBladder_Monocyte	Adult	Urinary system	AdultBladder	Monocyte	Monocyte	CL:0000576	Bladder organ	UBERON:0018707
AdultBladder_Sinusoidal endothelial cell	Adult	Urinary system	AdultBladder	Sinusoidal endothelial cell	Endothelial cell	CL:0000115	Bladder organ	UBERON:0018707
AdultBladder_Smooth muscle cell	Adult	Urinary system	AdultBladder	Smooth muscle cell	Smooth muscle cell	CL:0000192	Bladder organ	UBERON:0018707
AdultBladder_Stromal cell	Adult	Urinary system	AdultBladder	Stromal cell	Stromal cell	CL:0000499	Bladder organ	UBERON:0018707
AdultBladder_T cell	Adult	Urinary system	AdultBladder	T cell	T cell	CL:0000084	Bladder organ	UBERON:0018707
AdultBoneMarrow_Antigen presenting cell (RPS high)	Adult	Lymphatic system	AdultBoneMarrow	Antigen presenting cell (RPS high)	Professional antigen presenting cell	CL:0000145	Bone marrow	UBERON:0002371
AdultBoneMarrow_B cell	Adult	Lymphatic system	AdultBoneMarrow	B cell	B cell	CL:0000236	Bone marrow	UBERON:0002371
AdultBoneMarrow_B cell (Plasmocyte)	Adult	Lymphatic system	AdultBoneMarrow	B cell (Plasmocyte)	B cell	CL:0000236	Bone marrow	UBERON:0002371
AdultBoneMarrow_Dendritic cell	Adult	Lymphatic system	AdultBoneMarrow	Dendritic cell	Dendritic cell	CL:0000451	Bone marrow	UBERON:0002371
AdultBoneMarrow_Erythroid cell	Adult	Lymphatic system	AdultBoneMarrow	Erythroid cell	Erythroid lineage cell	CL:0000764	Bone marrow	UBERON:0002371
AdultBoneMarrow_Erythroid progenitor cell (RP high)	Adult	Lymphatic system	AdultBoneMarrow	Erythroid progenitor cell (RP high)	Erythroid progenitor cell	CL:0000038	Bone marrow	UBERON:0002371
AdultBoneMarrow_Neutrophil	Adult	Lymphatic system	AdultBoneMarrow	Neutrophil	Neutrophil	CL:0000775	Bone marrow	UBERON:0002371
AdultBoneMarrow_Neutrophil (RPS high)	Adult	Lymphatic system	AdultBoneMarrow	Neutrophil (RPS high)	Neutrophil	CL:0000775	Bone marrow	UBERON:0002371
AdultBoneMarrow_T cell	Adult	Lymphatic system	AdultBoneMarrow	T cell	T cell	CL:0000084	Bone marrow	UBERON:0002371
AdultCerebellum_Astrocyte	Adult	Nervous system	AdultCerebellum	Astrocyte	Astrocyte	CL:0000127	Cerebellum	UBERON:0002037
AdultCerebellum_Endothelial cell (APC)	Adult	Nervous system	AdultCerebellum	Endothelial cell (APC)	Endothelial cell	CL:0000115	Cerebellum	UBERON:0002037
AdultCerebellum_Macrophage	Adult	Nervous system	AdultCerebellum	Macrophage	Macrophage	CL:0000235	Cerebellum	UBERON:0002037
AdultCerebellum_Monocyte	Adult	Nervous system	AdultCerebellum	Monocyte	Monocyte	CL:0000576	Cerebellum	UBERON:0002037
AdultCerebellum_Neutrophil	Adult	Nervous system	AdultCerebellum	Neutrophil	Neutrophil	CL:0000775	Cerebellum	UBERON:0002037
AdultCerebellum_Oligodendrocyte	Adult	Nervous system	AdultCerebellum	Oligodendrocyte	Oligodendrocyte	CL:0000128	Cerebellum	UBERON:0002037
AdultCerebellum_Smooth muscle cell	Adult	Nervous system	AdultCerebellum	Smooth muscle cell	Smooth muscle cell	CL:0000192	Cerebellum	UBERON:0002037
AdultCerebellum_T cell	Adult	Nervous system	AdultCerebellum	T cell	T cell	CL:0000084	Cerebellum	UBERON:0002037
AdultCervix_Basal cell	Adult	Reproductive system	AdultCervix	Basal cell	Basal cell	CL:0000646	Uterine cervix	UBERON:0000002
AdultCervix_Endothelial cell	Adult	Reproductive system	AdultCervix	Endothelial cell	Endothelial cell	CL:0000115	Uterine cervix	UBERON:0000002
AdultCervix_Macrophage	Adult	Reproductive system	AdultCervix	Macrophage	Macrophage	CL:0000235	Uterine cervix	UBERON:0000002
AdultCervix_Smooth muscle cell	Adult	Reproductive system	AdultCervix	Smooth muscle cell	Smooth muscle cell	CL:0000192	Uterine cervix	UBERON:0000002
AdultCervix_Stratified epithelial cell	Adult	Reproductive system	AdultCervix	Stratified epithelial cell	Epithelial cell	CL:0000066	Uterine cervix	UBERON:0000002
AdultCervix_T cell	Adult	Reproductive system	AdultCervix	T cell	T cell	CL:0000084	Uterine cervix	UBERON:0000002
AdultDuodenum_B cell (Plasmocyte)	Adult	Digestive system	AdultDuodenum	B cell (Plasmocyte)	B cell	CL:0000236	Duodenum	UBERON:0002114
AdultDuodenum_Dendritic cell	Adult	Digestive system	AdultDuodenum	Dendritic cell	Dendritic cell	CL:0000451	Duodenum	UBERON:0002114
AdultDuodenum_Endothelial cell (APC)	Adult	Digestive system	AdultDuodenum	Endothelial cell (APC)	Endothelial cell	CL:0000115	Duodenum	UBERON:0002114
AdultDuodenum_Enterocyte	Adult	Digestive system	AdultDuodenum	Enterocyte	Enterocyte	CL:0000584	Duodenum	UBERON:0002114
AdultDuodenum_Goblet cell	Adult	Digestive system	AdultDuodenum	Goblet cell	Goblet cell	CL:0000160	Duodenum	UBERON:0002114
AdultDuodenum_Macrophage	Adult	Digestive system	AdultDuodenum	Macrophage	Macrophage	CL:0000235	Duodenum	UBERON:0002114
AdultDuodenum_T cell	Adult	Digestive system	AdultDuodenum	T cell	T cell	CL:0000084	Duodenum	UBERON:0002114
AdultEpityphlon_B cell	Adult	Digestive system	AdultEpityphlon	B cell	B cell	CL:0000236	Caecum	UBERON:0001153
AdultEpityphlon_B cell (Plasmocyte)	Adult	Digestive system	AdultEpityphlon	B cell (Plasmocyte)	B cell	CL:0000236	Caecum	UBERON:0001153
AdultEpityphlon_Dendritic cell	Adult	Digestive system	AdultEpityphlon	Dendritic cell	Dendritic cell	CL:0000451	Caecum	UBERON:0001153
AdultEpityphlon_Enterocyte progenitor	Adult	Digestive system	AdultEpityphlon	Enterocyte progenitor	Enterocyte	CL:0000584	Caecum	UBERON:0001153
AdultEpityphlon_T cell	Adult	Digestive system	AdultEpityphlon	T cell	T cell	CL:0000084	Caecum	UBERON:0001153
AdultEsophagus_B cell	Adult	Digestive system	AdultEsophagus	B cell	B cell	CL:0000236	Esophagus	UBERON:0001043
AdultEsophagus_B cell (Plasmocyte)	Adult	Digestive system	AdultEsophagus	B cell (Plasmocyte)	B cell	CL:0000236	Esophagus	UBERON:0001043
AdultEsophagus_Basal cell	Adult	Digestive system	AdultEsophagus	Basal cell	Basal cell	CL:0000646	Esophagus	UBERON:0001043
AdultEsophagus_Dendritic cell	Adult	Digestive system	AdultEsophagus	Dendritic cell	Dendritic cell	CL:0000451	Esophagus	UBERON:0001043
AdultEsophagus_Endothelial cell	Adult	Digestive system	AdultEsophagus	Endothelial cell	Endothelial cell	CL:0000115	Esophagus	UBERON:0001043
AdultEsophagus_Endothelial cell (APC)	Adult	Digestive system	AdultEsophagus	Endothelial cell (APC)	Endothelial cell	CL:0000115	Esophagus	UBERON:0001043
AdultEsophagus_Fibroblast	Adult	Digestive system	AdultEsophagus	Fibroblast	Fibroblast	CL:0000057	Esophagus	UBERON:0001043
AdultEsophagus_Macrophage	Adult	Digestive system	AdultEsophagus	Macrophage	Macrophage	CL:0000235	Esophagus	UBERON:0001043
AdultEsophagus_Mast cell	Adult	Digestive system	AdultEsophagus	Mast cell	Mast cell	CL:0000097	Esophagus	UBERON:0001043
AdultEsophagus_Monocyte	Adult	Digestive system	AdultEsophagus	Monocyte	Monocyte	CL:0000576	Esophagus	UBERON:0001043
AdultEsophagus_Neutrophil	Adult	Digestive system	AdultEsophagus	Neutrophil	Neutrophil	CL:0000775	Esophagus	UBERON:0001043
AdultEsophagus_Smooth muscle cell	Adult	Digestive system	AdultEsophagus	Smooth muscle cell	Smooth muscle cell	CL:0000192	Esophagus	UBERON:0001043
AdultEsophagus_Stratified epithelial cell	Adult	Digestive system	AdultEsophagus	Stratified epithelial cell	Epithelial cell	CL:0000066	Esophagus	UBERON:0001043
AdultEsophagus_Stromal cell	Adult	Digestive system	AdultEsophagus	Stromal cell	Stromal cell	CL:0000499	Esophagus	UBERON:0001043
AdultEsophagus_T cell	Adult	Digestive system	AdultEsophagus	T cell	T cell	CL:0000084	Esophagus	UBERON:0001043
AdultFallopiantube_B cell (Plasmocyte)	Adult	Reproductive system	AdultFallopiantube	B cell (Plasmocyte)	B cell	CL:0000236	Fallopian tube	UBERON:0003889
AdultFallopiantube_Dendritic cell	Adult	Reproductive system	AdultFallopiantube	Dendritic cell	Dendritic cell	CL:0000451	Fallopian tube	UBERON:0003889
AdultFallopiantube_Endothelial cell (APC)	Adult	Reproductive system	AdultFallopiantube	Endothelial cell (APC)	Endothelial cell	CL:0000115	Fallopian tube	UBERON:0003889
AdultFallopiantube_Fibroblast	Adult	Reproductive system	AdultFallopiantube	Fibroblast	Fibroblast	CL:0000057	Fallopian tube	UBERON:0003889
AdultFallopiantube_Macrophage	Adult	Reproductive system	AdultFallopiantube	Macrophage	Macrophage	CL:0000235	Fallopian tube	UBERON:0003889
AdultFallopiantube_Mast cell	Adult	Reproductive system	AdultFallopiantube	Mast cell	Mast cell	CL:0000097	Fallopian tube	UBERON:0003889
AdultFallopiantube_Smooth muscle cell	Adult	Reproductive system	AdultFallopiantube	Smooth muscle cell	Smooth muscle cell	CL:0000192	Fallopian tube	UBERON:0003889
AdultFallopiantube_Stratified epithelial cell	Adult	Reproductive system	AdultFallopiantube	Stratified epithelial cell	Epithelial cell	CL:0000066	Fallopian tube	UBERON:0003889
AdultFallopiantube_Stromal cell	Adult	Reproductive system	AdultFallopiantube	Stromal cell	Stromal cell	CL:0000499	Fallopian tube	UBERON:0003889
AdultFallopiantube_T cell	Adult	Reproductive system	AdultFallopiantube	T cell	T cell	CL:0000084	Fallopian tube	UBERON:0003889
AdultGallbladder_Endothelial cell	Adult	Digestive system	AdultGallbladder	Endothelial cell	Endothelial cell	CL:0000115	Gall bladder	UBERON:0002110
AdultGallbladder_Fibroblast	Adult	Digestive system	AdultGallbladder	Fibroblast	Fibroblast	CL:0000057	Gall bladder	UBERON:0002110
AdultGallbladder_Goblet cell	Adult	Digestive system	AdultGallbladder	Goblet cell	Goblet cell	CL:0000160	Gall bladder	UBERON:0002110
AdultGallbladder_Macrophage	Adult	Digestive system	AdultGallbladder	Macrophage	Macrophage	CL:0000235	Gall bladder	UBERON:0002110
AdultGallbladder_Smooth muscle cell	Adult	Digestive system	AdultGallbladder	Smooth muscle cell	Smooth muscle cell	CL:0000192	Gall bladder	UBERON:0002110
AdultGallbladder_Stromal cell	Adult	Digestive system	AdultGallbladder	Stromal cell	Stromal cell	CL:0000499	Gall bladder	UBERON:0002110
AdultHeart_Dendritic cell	Adult	Cardiovascular system	AdultHeart	Dendritic cell	Dendritic cell	CL:0000451	Heart	UBERON:0000948
AdultHeart_Endothelial cell (APC)	Adult	Cardiovascular system	AdultHeart	Endothelial cell (APC)	Endothelial cell	CL:0000115	Heart	UBERON:0000948
AdultHeart_Macrophage	Adult	Cardiovascular system	AdultHeart	Macrophage	Macrophage	CL:0000235	Heart	UBERON:0000948
AdultHeart_Monocyte	Adult	Cardiovascular system	AdultHeart	Monocyte	Monocyte	CL:0000576	Heart	UBERON:0000948
AdultHeart_Smooth muscle cell	Adult	Cardiovascular system	AdultHeart	Smooth muscle cell	Smooth muscle cell	CL:0000192	Heart	UBERON:0000948
AdultHeart_Stromal cell	Adult	Cardiovascular system	AdultHeart	Stromal cell	Stromal cell	CL:0000499	Heart	UBERON:0000948
AdultHeart_T cell	Adult	Cardiovascular system	AdultHeart	T cell	T cell	CL:0000084	Heart	UBERON:0000948
AdultIleum_B cell (Plasmocyte)	Adult	Digestive system	AdultIleum	B cell (Plasmocyte)	B cell	CL:0000236	Ileum	UBERON:0002116
AdultIleum_Dendritic cell	Adult	Digestive system	AdultIleum	Dendritic cell	Dendritic cell	CL:0000451	Ileum	UBERON:0002116
AdultIleum_Endothelial cell (APC)	Adult	Digestive system	AdultIleum	Endothelial cell (APC)	Endothelial cell	CL:0000115	Ileum	UBERON:0002116
AdultIleum_Enterocyte	Adult	Digestive system	AdultIleum	Enterocyte	Enterocyte	CL:0000584	Ileum	UBERON:0002116
AdultIleum_Enterocyte progenitor	Adult	Digestive system	AdultIleum	Enterocyte progenitor	Enterocyte	CL:0000584	Ileum	UBERON:0002116
AdultIleum_Epithelial cell	Adult	Digestive system	AdultIleum	Epithelial cell	Epithelial cell	CL:0000066	Ileum	UBERON:0002116
AdultIleum_Macrophage	Adult	Digestive system	AdultIleum	Macrophage	Macrophage	CL:0000235	Ileum	UBERON:0002116
AdultIleum_Mast cell	Adult	Digestive system	AdultIleum	Mast cell	Mast cell	CL:0000097	Ileum	UBERON:0002116
AdultIleum_Smooth muscle cell	Adult	Digestive system	AdultIleum	Smooth muscle cell	Smooth muscle cell	CL:0000192	Ileum	UBERON:0002116
AdultIleum_Stromal cell	Adult	Digestive system	AdultIleum	Stromal cell	Stromal cell	CL:0000499	Ileum	UBERON:0002116
AdultIleum_T cell	Adult	Digestive system	AdultIleum	T cell	T cell	CL:0000084	Ileum	UBERON:0002116
AdultJeJunum_B cell (Plasmocyte)	Adult	Digestive system	AdultJeJunum	B cell (Plasmocyte)	B cell	CL:0000236	Jejunum	UBERON:0002115
AdultJeJunum_Dendritic cell	Adult	Digestive system	AdultJeJunum	Dendritic cell	Dendritic cell	CL:0000451	Jejunum	UBERON:0002115
AdultJeJunum_Enterocyte	Adult	Digestive system	AdultJeJunum	Enterocyte	Enterocyte	CL:0000584	Jejunum	UBERON:0002115
AdultJeJunum_Macrophage	Adult	Digestive system	AdultJeJunum	Macrophage	Macrophage	CL:0000235	Jejunum	UBERON:0002115
AdultJeJunum_Mast cell	Adult	Digestive system	AdultJeJunum	Mast cell	Mast cell	CL:0000097	Jejunum	UBERON:0002115
AdultJeJunum_Smooth muscle cell	Adult	Digestive system	AdultJeJunum	Smooth muscle cell	Smooth muscle cell	CL:0000192	Jejunum	UBERON:0002115
AdultJeJunum_Stromal cell	Adult	Digestive system	AdultJeJunum	Stromal cell	Stromal cell	CL:0000499	Jejunum	UBERON:0002115
AdultJeJunum_T cell	Adult	Digestive system	AdultJeJunum	T cell	T cell	CL:0000084	Jejunum	UBERON:0002115
AdultKidney_B cell	Adult	Urinary system	AdultKidney	B cell	B cell	CL:0000236	Kidney	UBERON:0002113
AdultKidney_B cell (Plasmocyte)	Adult	Urinary system	AdultKidney	B cell (Plasmocyte)	B cell	CL:0000236	Kidney	UBERON:0002113
AdultKidney_Dendritic cell	Adult	Urinary system	AdultKidney	Dendritic cell	Dendritic cell	CL:0000451	Kidney	UBERON:0002113
AdultKidney_Endothelial cell	Adult	Urinary system	AdultKidney	Endothelial cell	Endothelial cell	CL:0000115	Kidney	UBERON:0002113
AdultKidney_Endothelial cell (APC)	Adult	Urinary system	AdultKidney	Endothelial cell (APC)	Endothelial cell	CL:0000115	Kidney	UBERON:0002113
AdultKidney_Epithelial cell	Adult	Urinary system	AdultKidney	Epithelial cell	Epithelial cell	CL:0000066	Kidney	UBERON:0002113
AdultKidney_Fetal epithelial progenitor	Adult	Urinary system	AdultKidney	Fetal epithelial progenitor	Epithelial fate stem cell	CL:0000036	Kidney	UBERON:0002113
AdultKidney_Intercalated cell	Adult	Urinary system	AdultKidney	Intercalated cell	Renal intercalated cell	CL:0005010	Kidney	UBERON:0002113
AdultKidney_Loop of Henle	Adult	Urinary system	AdultKidney	Loop of Henle	Kidney loop of Henle epithelial cell	CL:1000909	Kidney	UBERON:0002113
AdultKidney_Macrophage	Adult	Urinary system	AdultKidney	Macrophage	Macrophage	CL:0000235	Kidney	UBERON:0002113
AdultKidney_Mast cell	Adult	Urinary system	AdultKidney	Mast cell	Mast cell	CL:0000097	Kidney	UBERON:0002113
AdultKidney_Monocyte	Adult	Urinary system	AdultKidney	Monocyte	Monocyte	CL:0000576	Kidney	UBERON:0002113
